CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
19,PPan,NotTelling,Where is Tinker?,User,Peter,Pan,fc9b9aed0b7e23eede19d24ebe0e2545,a01835a3792034b9e606a397df4ada2128f2a54d3595bad54aafb76e23eeccc0
20,CHook,JollyRoger,Gator-hater,User,Captain,Hook,620fca680cbd60d99216531ce8aa369a,6b4dde621910abb85d92748db167a298964ef9f6a6cce535948412b6c63585ad
21,james,i<3devs,Occupation: Researcher,User,James,Jardine,472e170570c2e2731a01553982751a91,6635d55e2f6d44c6014e4d662107ec592c91af25ea0e838a550fd6279e78db53
22,ed,pentest,Commandline KungFu anyone?,User,Ed,Skoudis,cd744d212aae87072aa88ae5f4fde94b,3394e40b79f63f7832b1c1c2f9538c8da492a35e91e39c4a983a250565666a7c
23,joe,holly,Off by one error,User,Joe,Holly,7a244ebae9e8f7a98245701768223e09,40af4969e8564cac3cb69643c3137561c6c9b34a56341efbd4d96562159722ee
24,peter,initech123,I dont like my job,User,Peter,Gibbons,567aabe6a30b7fb7105799101299be13,21dc41db124e287645eb5f8b2f5ea494e48dc3cfe4705f219c276c6d28a4cbc1
25,milton,stapler,Wheres my stapler?,User,Milton,Waddams,b20667afde2a3b8f1a3dd42146a4bda0,6128f95060aad724c034e682e704ff446d7c1296a60f5614d890361c09a6c94c
26,bill,tpsreports,Did you get the memo?,User,Bill,Lumbergh,73b50b508e296fcaf57fc76630f6d018,2e95175302e579ef4747f515a9e493df37555ca7f423426013dc387f2a06909b
27,samir,nojoke123,No one can pronounce my last name,User,Samir,Nagheenanajar,1a99a1049de9e301d7697eef332e5af0,0fdfe0ed9dcc9f057f12fa68c643f71b211a831c4cfc2233a00effabc4f8fea2
28,michael_b,michael123,We fixed the glitch,User,Michael,Bolton,ff640b143fc39c1dbc58dc83486829d4,6c4a6a471c40ec3b853348b7c9c54822a0dad0659e1fe286032bc3d4380b2a55
29,michael_s,worldsbestboss,Worlds Best Boss,User,Michael,Scott,aa709ca0da77a3be0c5e0966678cc3e6,02dbe73ad4ee9391c50b7f94db0240d28ae861df6d9572c3cc96ca747eaaf68f
30,jim,bearsbeatsbattlestar,Pranking Dwight,User,Jim,Halpert,561233c86316413d52e7a05f7cab1db5,bebc5765a3e6f0fc96da819e386f8c2db2ed134621a16e18830de551b07f7366
31,dwight,assistant_to_the_regional_manager,Bears. Beets. Battlestar Galactica.,User,Dwight,Schrute,36a4b0c2afe719027ad2a63b5a6ba749,73cbbc06699cd053cc37b1ba38d3c88c68fa7d0af87e8bcb105c5addac36c493
32,pam,pammy123,Dunder Mifflin,User,Pam,Beesly,40bd15c1856165490c070854b3dce164,c7a114a2d72c49fd4a3e95829f3e7e518f55969d635245fa1e925183fdeb517f
33,ryan,temp123,I am the temp,User,Ryan,Howard,ed5462b59d3d7810d7eec7a9427634c7,a2c1b52d71153cfd00acf67c56a4aba550dc26aa48cf97679939bcb83a3571e4
34,derek,bluestrike,Im pretty sure theres more to life than being really, really ridiculously good looking,User,Derek,Zoolander,fbd3e2a51b74d87b499f17fe25c059d5,b05cc92207663dc790fc9d91c2f62dc5cc20b2d05fa43147accfe72b9d7a49c3
35,hansel,hansel123,Hansel. Hes so hot right now.,User,Hansel,,363ad4868333f5d925be9e34a2f96063,13ba83f3190db69c34670798f1dfcff3dcbb67d94c1a21b98f1d771f1ba6ee60
36,mugatu,mugatu123,I invented the piano key necktie!,User,Jacobim,Mugatu,7e15a7c86e52cd85ae57354aec917953,987c8fc7f198e74e8f4dd873b74ab63ce1a4b87987c75c2b961cc931a057175a
37,matilda,journalist123,Investigative reporter,User,Matilda,Jeffries,25e22c2c548811151df636d2db78294e,09b5f6ae5329e570f73673714569eef4c081d9640a22fde477c5040648efbe85
38,stackhawk,Kaakaww,Swooping in for security,User,Stack,Hawk,929df00ee9bce51a0110cfec0603b45b,483735503bc76531f58d0c7b71cd4e3638712784ad3244cb6daf50e203602c2c
39,zoolander,zoolander123,I am really, really, really, ridiculously good looking,User,Derek,Zoolander,6ead5e9970ab13c258914627528787cd,54784983807f12e8daa1e598bcfa2a3432c48e4321d4613832c53938fee63e7b
40,maury,maury123,Youre the guy who cant turn left,User,Maury,Ballstein,53001822c13491037d2e539636eedc0d,bdd3cfdb2ce9e92340fc884663b9745ad96cb87cfe3b561c5518701bb3c417a7
